Time,Raw,Mag,Freq,ROCOF,EstV,LSE,Trig,Gated
13932.2917,-18166.1134,19960.9065,59.7016,0.1599,-17757.8002,166719.7449,0,0.0000
13997.3958,-17869.1483,19944.5693,59.8508,2291.6713,-17514.9739,125439.5117,0,0.0000
14062.5000,-17591.3128,19927.8054,59.7016,-2291.8311,-17262.2705,108268.8816,0,0.0000
14127.6042,-17333.0625,19910.8883,59.8508,2291.8311,-16998.9176,111652.8228,0,0.0000
14192.7083,-17084.3769,19893.8308,59.8508,0.0000,-16725.6893,128656.8454,0,0.0000
14257.8125,-16845.9394,19876.5235,59.8508,-0.0000,-16442.6816,162616.8954,0,0.0000
14322.9167,-16611.6012,19858.7823,59.8508,0.0003,-16149.9418,213129.3533,0,0.0000
14388.0208,-16372.9359,19840.4606,59.8508,-0.0003,-15847.5642,276015.5041,0,0.0000
14453.1250,-16123.1117,19821.3756,60.0000,2291.8312,-15534.8779,346019.0049,0,0.0000
14518.2292,-15859.3958,19801.3986,60.0000,0.0000,-15212.7306,418175.7949,0,0.0000
14583.3333,-15579.9661,19780.7914,60.1492,2291.8312,-14880.7779,488864.1941,0,0.0000
14648.4375,-15267.0596,19759.6454,60.1492,-0.0003,-14540.0884,528487.1604,0,0.0000
14713.5417,-14920.2207,19737.9959,60.1492,0.0003,-14190.9395,531851.1207,0,0.0000
14778.6458,-14549.0143,19716.0750,60.1492,-0.0000,-13833.7499,511603.1366,0,0.0000
14843.7500,-14139.0931,19693.7251,60.1492,0.0000,-13468.6611,449479.1414,0,0.0000
14908.8542,-13713.0028,19670.8409,60.2984,2291.8311,-13094.9695,381965.2163,0,0.0000
14973.9583,-13303.0816,19647.5413,60.2984,0.0000,-12713.8848,347152.8694,0,0.0000
15039.0625,-12881.3182,19623.7406,60.2984,-0.1599,-12325.6270,308792.7154,0,0.0000
15104.1667,-12446.3463,19599.5412,60.2984,0.1599,-11930.5414,266054.6575,0,0.0000
15169.2708,-12025.9493,19575.0950,60.4476,2291.8311,-11528.0338,247919.8517,0,0.0000
15234.3750,-11609.1961,19550.3846,60.2984,-2291.8314,-11120.2863,239032.8384,0,0.0000
15299.4792,-11190.6210,19525.3758,60.2984,0.0003,-10706.6124,234264.3747,0,0.0000
15364.5833,-10773.4123,19499.9950,60.4476,2291.8311,-10286.2492,237327.9481,0,0.0000
15429.6875,-10354.3818,19474.2177,60.4476,-0.0025,-9860.4625,243956.2097,0,0.0000
15494.7917,-9944.0051,19448.0029,60.2984,-2291.8287,-9430.5726,263612.9320,0,0.0000
15559.8958,-9532.9452,19421.3748,60.5968,4583.6623,-8993.7837,290695.1628,0,0.0000
15625.0000,-9100.9338,19394.4160,60.4476,-2291.8314,-8553.5554,299623.1324,0,0.0000
15690.1042,-8654.5752,19367.1651,60.4476,0.0003,-8109.1717,297464.9278,0,0.0000
15755.2083,-8195.2357,19339.6619,60.4476,0.0000,-7660.9540,285456.9258,0,0.0000
15820.3125,-7722.6877,19311.9147,60.5968,2291.8112,-7208.1167,264783.2769,0,0.0000
15885.4167,-7240.8025,19283.9447,60.4476,-2291.8112,-6753.1512,237803.8675,0,0.0000
15950.5208,-6753.9072,19255.7445,60.4476,-0.0003,-6295.2771,210341.6125,0,0.0000
16015.6250,-6264.5069,19227.3195,60.4476,0.0003,-5834.8038,184644.7222,0,0.0000
16080.7292,-5765.7694,19198.6798,60.4476,0.0000,-5372.0425,155020.9099,0,0.0000
16145.8333,-5263.1605,19169.8158,60.2984,-2291.8337,-4908.4299,125833.7451,0,0.0000
16210.9375,-4754.1750,19140.7668,60.4476,2291.8336,-4442.0283,97435.5415,0,0.0000
16276.0417,-4244.2786,19111.5353,60.2984,-2291.8311,-3975.4111,72289.7041,0,0.0000
16341.1458,-3754.4227,19082.1149,60.2984,-0.0003,-3507.7510,60846.9231,0,0.0000
16406.2500,-3267.7552,19052.5373,60.2984,0.0003,-3039.3583,52165.1059,0,0.0000
16471.3542,-2769.7009,19022.8024,60.2984,-0.0000,-2570.5356,39666.8111,0,0.0000
16536.4583,-2273.4685,18992.8988,60.1492,-2291.8311,-2102.7358,29149.6704,0,0.0000
16601.5625,-1779.5135,18962.8466,60.1492,-0.0000,-1635.1125,20851.6295,0,0.0000
16666.6667,-1284.6475,18932.6500,60.1492,0.0000,-1167.9638,13615.0921,0,0.0000
16731.7708,-788.4151,18902.3157,60.1485,-10.2310,-701.5910,7538.4324,0,0.0000
16796.8750,-283.3011,18871.8593,60.0000,-2281.6002,-237.4301,2104.1505,0,0.0000
16861.9792,224.0903,18841.2900,60.0000,0.0000,225.3777,1.6576,0,0.0000
16927.0833,732.3925,18810.6187,59.8515,-2281.6002,685.4035,2207.9695,0,0.0000
16992.1875,1248.6655,18779.8432,59.8508,-10.2310,1143.5063,11058.4581,0,0.0000
17057.2917,1761.5225,18748.9712,59.8508,0.0000,1599.4115,26279.9636,0,0.0000
17122.3958,2271.8744,18718.0328,59.5524,-4583.6623,2050.5737,48974.0020,0,0.0000
17187.5000,2782.2263,18687.0135,59.7016,2291.8311,2500.1404,79572.4692,0,0.0000
17252.6042,3276.6368,18655.9140,59.5524,-2291.8309,2945.5776,109600.1757,0,0.0000
17317.7083,3761.0270,18624.7225,59.4032,-2291.8315,3386.6364,140168.3534,0,0.0000
17382.8125,4252.0215,18593.4249,59.2540,-2291.8287,3823.0726,183997.1387,0,0.0000
17447.9167,4748.7094,18562.2635,59.2540,-0.0021,4255.8095,242950.2659,0,0.0000
17513.0208,5243.5754,18531.5115,59.4032,2291.8309,4685.7738,311142.5800,0,0.0000
17578.1250,5731.8370,18501.4823,59.7016,4583.6623,5113.8958,381851.3626,0,0.0000
17643.2292,6217.5937,18472.5179,59.8508,2291.8312,5538.9534,460552.6448,0,0.0000
17708.3333,6700.3897,18444.6755,60.2984,6875.4935,5962.8968,543895.8678,0,0.0000
17773.4375,7172.2546,18417.8474,60.2984,-0.0000,6382.2644,624084.5249,0,0.0000
17838.5417,7640.0202,18391.7029,60.4476,2291.8312,6797.8036,709328.8722,0,0.0000
17903.6458,8107.1027,18365.9550,60.1492,-4583.6627,7206.0790,811843.5863,0,0.0000
17968.7500,8568.7195,18340.5128,60.1492,0.0003,7608.9537,921150.4245,0,0.0000
18033.8542,9026.9203,18315.3940,59.8508,-4583.6624,8004.2136,1045929.0544,0,0.0000
18098.9583,9475.1008,18290.6815,59.7016,-2291.8309,8392.7643,1171452.2389,0,0.0000
18164.0625,9914.6274,18265.9736,59.4032,-4583.6626,8773.2840,1302664.7889,0,0.0000
18229.1667,10349.8271,18241.1144,59.2540,-2291.8112,9146.5314,1447920.5183,0,0.0000
18294.2708,10764.5307,18216.3018,58.9555,-4583.6820,9511.4907,1570109.1537,0,0.0000
18359.3750,11171.0359,18191.2716,58.6571,-4583.6602,9867.9144,1698125.7421,0,0.0000
18424.4792,11576.8579,18166.2762,58.6571,-0.0022,10217.6676,1847398.2636,0,0.0000
