09-19-2026 11:53:23 RAM 3644/7486MB (lfb 8x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.031C/48.781C soc2@47.781C/48.031C soc0@48.062C/48.218C gpu@48.25C/48.656C tj@48.25C/48.781C soc1@47.062C/47.156C VDD_IN 4552mW/5220mW/6090mW VDD_CPU_GPU_CV 1036mW/1555mW/2265mW VDD_SOC 1355mW/1390mW/1433mW
09-19-2026 11:53:23 RAM 3644/7486MB (lfb 8x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.781C/48.781C soc2@47.781C/48.031C soc0@48.062C/48.218C gpu@48.093C/48.656C tj@48.093C/48.781C soc1@47.031C/47.156C VDD_IN 4472mW/5163mW/6090mW VDD_CPU_GPU_CV 996mW/1512mW/2265mW VDD_SOC 1355mW/1388mW/1433mW
09-19-2026 11:53:23 RAM 3644/7486MB (lfb 8x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.781C/48.781C soc2@47.781C/48.031C soc0@48.093C/48.218C gpu@48.25C/48.656C tj@48.25C/48.781C soc1@46.937C/47.156C VDD_IN 4472mW/5113mW/6090mW VDD_CPU_GPU_CV 956mW/1472mW/2265mW VDD_SOC 1315mW/1383mW/1433mW
09-19-2026 11:53:23 RAM 3644/7486MB (lfb 8x4MB) CPU [54%@1497,50%@1497,50%@1497,54%@1497,45%@1497,45%@1497] GR3D_FREQ 0% cpu@48.5C/48.781C soc2@47.906C/48.031C soc0@48C/48.218C gpu@48.406C/48.656C tj@48.5C/48.781C soc1@47.031C/47.156C VDD_IN 4752mW/5089mW/6090mW VDD_CPU_GPU_CV 1236mW/1457mW/2265mW VDD_SOC 1355mW/1381mW/1433mW
09-19-2026 11:53:24 RAM 3644/7486MB (lfb 8x4MB) CPU [63%@1497,63%@1497,54%@1497,63%@1497,60%@1497,60%@1497] GR3D_FREQ 18% cpu@48.5C/48.781C soc2@47.906C/48.031C soc0@48.125C/48.218C gpu@48.125C/48.656C tj@48.5C/48.781C soc1@46.937C/47.156C VDD_IN 5103mW/5090mW/6090mW VDD_CPU_GPU_CV 1552mW/1463mW/2265mW VDD_SOC 1355mW/1379mW/1433mW
09-19-2026 11:53:24 RAM 3644/7486MB (lfb 8x4MB) CPU [63%@1497,60%@1497,50%@1497,54%@1497,50%@1497,54%@1497] GR3D_FREQ 0% cpu@48.562C/48.781C soc2@47.875C/48.031C soc0@48.031C/48.218C gpu@48.062C/48.656C tj@48.406C/48.781C soc1@46.906C/47.156C VDD_IN 5342mW/5105mW/6090mW VDD_CPU_GPU_CV 1751mW/1480mW/2265mW VDD_SOC 1353mW/1378mW/1433mW
09-19-2026 11:53:24 RAM 3644/7486MB (lfb 8x4MB) CPU [88%@1497,70%@1497,75%@1497,80%@1497,81%@1497,72%@1497] GR3D_FREQ 25% cpu@48.75C/48.781C soc2@48.031C/48.031C soc0@47.968C/48.218C gpu@48.406C/48.656C tj@48.75C/48.781C soc1@47C/47.156C VDD_IN 5692mW/5137mW/6090mW VDD_CPU_GPU_CV 2026mW/1510mW/2265mW VDD_SOC 1393mW/1378mW/1433mW
09-19-2026 11:53:24 RAM 3644/7486MB (lfb 8x4MB) CPU [75%@1497,63%@1497,72%@1497,54%@1497,58%@1497,75%@1497] GR3D_FREQ 24% cpu@48.718C/48.781C soc2@48.031C/48.031C soc0@48.187C/48.218C gpu@48.062C/48.656C tj@48.718C/48.781C soc1@46.968C/47.156C VDD_IN 5971mW/5181mW/6090mW VDD_CPU_GPU_CV 2185mW/1545mW/2265mW VDD_SOC 1433mW/1381mW/1433mW
09-19-2026 11:53:24 RAM 3644/7486MB (lfb 8x4MB) CPU [72%@1497,63%@1497,66%@1497,72%@1497,63%@1497,72%@1497] GR3D_FREQ 25% cpu@48.781C/48.781C soc2@48.156C/48.156C soc0@48.062C/48.218C gpu@48.531C/48.656C tj@48.781C/48.781C soc1@47.093C/47.156C VDD_IN 6170mW/5231mW/6170mW VDD_CPU_GPU_CV 2344mW/1585mW/2344mW VDD_SOC 1430mW/1384mW/1433mW
09-19-2026 11:53:24 RAM 3644/7486MB (lfb 8x4MB) CPU [66%@1497,66%@1497,71%@1497,69%@1497,69%@1497,63%@1497] GR3D_FREQ 25% cpu@49C/49C soc2@48.093C/48.156C soc0@48.062C/48.218C gpu@48.406C/48.656C tj@49C/49C soc1@47.093C/47.156C VDD_IN 6329mW/5283mW/6329mW VDD_CPU_GPU_CV 2464mW/1627mW/2464mW VDD_SOC 1430mW/1386mW/1433mW
09-19-2026 11:53:24 RAM 3644/7486MB (lfb 8x4MB) CPU [60%@1497,60%@1497,55%@1497,63%@1497,60%@1497,54%@1497] GR3D_FREQ 0% cpu@48.562C/49C soc2@48.031C/48.156C soc0@48.156C/48.218C gpu@48.531C/48.656C tj@48.562C/49C soc1@47.062C/47.156C VDD_IN 6289mW/5329mW/6329mW VDD_CPU_GPU_CV 2464mW/1665mW/2464mW VDD_SOC 1430mW/1388mW/1433mW
09-19-2026 11:53:24 RAM 3644/7486MB (lfb 8x4MB) CPU [60%@1497,54%@1497,58%@1497,45%@1497,54%@1497,54%@1497] GR3D_FREQ 0% cpu@48.531C/49C soc2@48.093C/48.156C soc0@48.125C/48.218C gpu@48.187C/48.656C tj@48.531C/49C soc1@47.187C/47.187C VDD_IN 6210mW/5367mW/6329mW VDD_CPU_GPU_CV 2464mW/1700mW/2464mW VDD_SOC 1430mW/1390mW/1433mW
09-19-2026 11:53:24 RAM 3644/7486MB (lfb 8x4MB) CPU [63%@1497,60%@1497,54%@1497,60%@1497,60%@1497,60%@1497] GR3D_FREQ 0% cpu@48.593C/49C soc2@48.062C/48.156C soc0@48.156C/48.218C gpu@48.218C/48.656C tj@48.625C/49C soc1@47.031C/47.187C VDD_IN 6130mW/5399mW/6329mW VDD_CPU_GPU_CV 2424mW/1730mW/2464mW VDD_SOC 1391mW/1390mW/1433mW
09-19-2026 11:53:25 RAM 3644/7486MB (lfb 8x4MB) CPU [54%@1497,63%@1497,50%@1497,54%@1497,60%@1497,63%@1497] GR3D_FREQ 0% cpu@48.843C/49C soc2@48.062C/48.156C soc0@48.062C/48.218C gpu@48.531C/48.656C tj@48.843C/49C soc1@47.093C/47.187C VDD_IN 6130mW/5428mW/6329mW VDD_CPU_GPU_CV 2424mW/1758mW/2464mW VDD_SOC 1391mW/1390mW/1433mW
09-19-2026 11:53:25 RAM 3644/7486MB (lfb 8x4MB) CPU [50%@1497,54%@1497,54%@1497,60%@1497,54%@1497,54%@1497] GR3D_FREQ 0% cpu@48.562C/49C soc2@48.093C/48.156C soc0@48.156C/48.218C gpu@48.187C/48.656C tj@48.562C/49C soc1@46.937C/47.187C VDD_IN 6090mW/5454mW/6329mW VDD_CPU_GPU_CV 2424mW/1784mW/2464mW VDD_SOC 1391mW/1390mW/1433mW
09-19-2026 11:53:25 RAM 3643/7486MB (lfb 8x4MB) CPU [72%@1497,60%@1497,80%@1497,60%@1497,66%@1497,60%@1497] GR3D_FREQ 24% cpu@48.843C/49C soc2@48.125C/48.156C soc0@48.156C/48.218C gpu@48.312C/48.656C tj@48.843C/49C soc1@47.093C/47.187C VDD_IN 6210mW/5482mW/6329mW VDD_CPU_GPU_CV 2503mW/1810mW/2503mW VDD_SOC 1391mW/1390mW/1433mW
