report,t_s,F0.Va.rms,F0.Va.ang_rad,F0.Va.freq_hz,F0.Va.event,F0.Vb.rms,F0.Vb.ang_rad,F0.Vb.freq_hz,F0.Vb.event,F0.Vc.rms,F0.Vc.ang_rad,F0.Vc.freq_hz,F0.Vc.event,F0.Ia.rms,F0.Ia.ang_rad,F0.Ia.freq_hz,F0.Ia.event,F0.Ib.rms,F0.Ib.ang_rad,F0.Ib.freq_hz,F0.Ib.event,F0.Ic.rms,F0.Ic.ang_rad,F0.Ic.freq_hz,F0.Ic.event,F0.mode
75,0.633333,15039.7,1.607443,60.12006,0,14948,3.702374,59.92073,0,15274.6,-0.483409,59.98368,0,55.6195,1.639667,60.03963,0,46.2117,3.736303,59.93709,0,44.1888,-0.548758,60.00350,0,PMU
76,0.641667,15070.5,1.602499,59.90558,0,15009,3.707928,60.10608,0,15183.5,-0.481273,60.04080,0,55.5493,1.638629,59.98018,0,46.4896,3.740390,60.07806,0,44.0547,-0.548025,60.01399,0,PMU
77,0.650000,15034.8,1.608725,60.11890,0,14942.5,3.703656,59.91840,0,15268.9,-0.482250,59.98135,0,55.3206,1.639423,60.01515,0,45.9334,3.737768,59.94992,0,43.8153,-0.548758,59.98601,0,PMU
78,0.658333,15069.2,1.603476,59.89975,0,15007.7,3.708899,60.10014,0,15182,-0.480358,60.03614,0,54.9665,1.638568,59.98368,0,45.8998,3.740329,60.04892,0,43.44,-0.549917,59.97785,0,PMU
79,0.666667,15036.4,1.610129,60.12706,0,14945.4,3.704937,59.92434,0,15272.6,-0.480846,59.99067,0,54.7331,1.638813,60.00466,0,45.3369,3.735510,59.90795,0,43.2854,-0.551016,59.97902,0,PMU
80,0.675000,15069.7,1.604880,59.89975,0,15008.5,3.710242,60.10130,0,15183.1,-0.478954,60.03614,0,54.3903,1.638080,59.98601,0,45.2897,3.738745,60.06178,0,42.8555,-0.552969,59.96270,0,PMU
81,0.683333,15036.3,1.611410,60.12473,0,14945.2,3.706280,59.92434,0,15272.3,-0.479564,59.98834,0,54.2068,1.638752,60.01282,0,44.7637,3.735449,59.93705,0,42.7397,-0.553091,59.99767,0,PMU
82,0.691667,15070,1.606039,59.89742,0,15007.7,3.711340,60.09664,0,15183.6,-0.477855,60.03264,0,54.058,1.640399,60.03147,0,44.8967,3.740696,60.10021,0,42.49,-0.552175,60.01749,0,PMU
83,0.700000,15037.9,1.612631,60.12589,0,14946.4,3.707379,59.92434,0,15274.8,-0.478404,59.98951,0,54.2467,1.642597,60.04196,0,44.7721,3.739109,59.96969,0,42.743,-0.550344,60.03497,0,PMU
84,0.708333,15072.2,1.607260,59.89742,0,15009.9,3.712622,60.10014,0,15185,-0.476634,60.03380,0,54.5912,1.644245,60.03147,0,45.4095,3.746311,60.13755,0,43.005,-0.546011,60.08276,0,PMU
85,0.716667,15039.4,1.613913,60.12706,0,14948.9,3.708716,59.92540,0,15276.5,-0.477062,59.99184,0,55.0846,1.646686,60.04663,0,45.6419,3.743991,59.95570,0,43.6046,-0.541678,60.08276,0,PMU
86,0.725000,15069.9,1.608298,59.89276,0,15008,3.713660,60.09442,0,15182.3,-0.475597,60.02798,0,55.3537,1.647840,60.02204,0,46.184,3.750400,60.12240,0,43.7111,-0.540396,60.02448,0,PMU
87,0.733333,15041.4,1.615072,60.12939,0,14950.1,3.709814,59.92656,0,15278.1,-0.475963,59.99301,0,55.8132,1.649122,60.02448,0,46.3596,3.746006,59.91607,0,44.325,-0.537527,60.05479,0,PMU
88,0.741667,15068.1,1.609457,59.89276,0,15006.3,3.714880,60.09675,0,15179.9,-0.474315,60.03147,0,55.8833,1.648878,59.99534,0,46.743,3.752109,60.11657,0,44.2614,-0.536184,60.02565,0,PMU
89,0.750000,15042.5,1.616232,60.12939,0,14951.6,3.711035,59.92656,0,15279.2,-0.474742,59.99184,0,56.2345,1.651014,60.04080,0,46.7993,3.747898,59.91957,0,44.7655,-0.534417,60.03376,0,PMU
90,0.758333,15071.2,1.611227,59.90441,0,15009.1,3.716467,60.10375,0,15184.9,-0.472669,60.03959,0,56.5666,1.650709,59.99417,0,47.41,3.753208,60.10141,0,44.961,-0.533440,60.01865,0,PMU
91,0.766667,15038.8,1.617573,60.12119,0,14948.1,3.712317,59.92073,0,15276.8,-0.473402,59.98601,0,56.9387,1.652235,60.02914,0,47.4691,3.749240,59.92423,0,45.4607,-0.530999,60.04663,0,PMU
92,0.775000,15069,1.612021,59.89396,0,15006.2,3.717322,60.09559,0,15181.8,-0.471876,60.02914,0,57.1391,1.651929,59.99417,0,47.9906,3.754245,60.09559,0,45.5099,-0.531243,59.99534,0,PMU
93,0.783333,15041.5,1.618671,60.12702,0,14949.5,3.713415,59.92540,0,15278.3,-0.472364,59.99067,0,57.5267,1.652906,60.01865,0,48.0868,3.750095,59.92073,0,46.0197,-0.529900,60.02565,0,PMU
94,0.791667,15069,1.613424,59.89979,0,15006.7,3.718786,60.10258,0,15181,-0.470472,60.03614,0,57.4376,1.651075,59.96503,0,48.3836,3.754062,60.07577,0,45.8039,-0.529900,60.00000,0,PMU
95,0.800000,15039.1,1.619770,60.12119,0,14947.3,3.714636,59.92073,0,15274.8,-0.471204,59.98601,0,57.4101,1.651380,60.00583,0,47.9462,3.748813,59.89975,0,45.8655,-0.531731,59.96503,0,PMU
96,0.808333,15074.4,1.615133,59.91145,0,15011.5,3.720434,60.11074,0,15187.9,-0.468885,60.04430,0,57.3788,1.650098,59.97552,0,48.2762,3.750522,60.03264,0,45.8278,-0.532830,59.97902,0,PMU
97,0.816667,15032.9,1.621357,60.11886,0,14941.6,3.716223,59.91957,0,15268.5,-0.469679,59.98485,0,57.1099,1.648878,59.97669,0,47.6378,3.747043,59.93356,0,45.5544,-0.534600,59.96620,0,PMU
98,0.825000,15069.1,1.615927,59.89630,0,15006.6,3.721228,60.09559,0,15182.4,-0.468092,60.03031,0,57.079,1.650831,60.03730,0,47.9529,3.749912,60.05479,0,45.5427,-0.533257,60.02565,0,PMU
99,0.833333,15037,1.622700,60.12935,0,14945.5,3.717322,59.92540,0,15274.8,-0.468519,59.99184,0,57.3702,1.651014,60.00350,0,47.8782,3.746860,59.94172,0,45.9012,-0.533257,60.00000,0,PMU
100,0.841667,15069.8,1.617451,59.89975,0,15006.4,3.722693,60.10258,0,15183.8,-0.466627,60.03614,0,57.4282,1.650709,59.99417,0,48.2766,3.750766,60.07460,0,45.8069,-0.532585,60.01282,0,PMU
101,0.850000,15034.7,1.623676,60.11890,0,14943.5,3.718420,59.91840,0,15272.5,-0.467420,59.98485,0,57.2727,1.650098,59.98834,0,47.8341,3.746494,59.91840,0,45.7177,-0.534722,59.95920,0,PMU
102,0.858333,15072.3,1.618488,59.90092,0,15008.7,3.723791,60.10258,0,15186.4,-0.465589,60.03497,0,57.1111,1.650098,60.00000,0,47.9434,3.749485,60.05712,0,45.5118,-0.534844,59.99767,0,PMU
103,0.866667,15037.3,1.625202,60.12822,0,14946,3.719946,59.92657,0,15274.7,-0.465894,59.99417,0,56.9234,1.649915,59.99650,0,47.4537,3.746067,59.93472,0,45.4024,-0.535393,59.98951,0,PMU
104,0.875000,15071.5,1.619831,59.89742,0,15007.4,3.725134,60.09908,0,15184.8,-0.464185,60.03264,0,56.6475,1.650159,60.00466,0,47.4347,3.749546,60.06644,0,44.9904,-0.536612,59.97673,0,PMU
105,0.883333,15036.4,1.626423,60.12589,0,14945.4,3.721167,59.92424,0,15274.2,-0.464674,59.99067,0,56.5501,1.650037,59.99767,0,47.0577,3.745578,59.92423,0,45.033,-0.536917,59.99417,0,PMU
106,0.891667,15072.7,1.621113,59.89859,0,15008.9,3.726355,60.09908,0,15187,-0.462965,60.03264,0,56.5472,1.651197,60.02215,0,47.3166,3.749790,60.08043,0,44.9582,-0.535698,60.02327,0,PMU
107,0.900000,15038.3,1.627888,60.12939,0,14947.5,3.722510,59.92657,0,15277.3,-0.463270,59.99417,0,56.705,1.651746,60.01049,0,47.1366,3.746616,59.93939,0,45.1482,-0.535210,60.00933,0,PMU
108,0.908333,15072.1,1.622394,59.89509,0,15007.3,3.727636,60.09791,0,15185.6,-0.461683,60.03031,0,56.6055,1.653211,60.02798,0,47.3237,3.752903,60.12006,0,44.9084,-0.534172,60.01982,0,PMU
109,0.916667,15038.6,1.629169,60.12939,0,14947.4,3.723791,59.92656,0,15277.9,-0.461988,59.99417,0,56.6139,1.654371,60.02215,0,47.105,3.749668,59.93822,0,45.0941,-0.532158,60.03847,0,PMU
