tp,fp,fn,precision,recall,f1,n_event_windows,n_caught,event_recall,false_alarm_runs,latency_reports,latency_ms,duty_cycle,bandwidth_reduction,n_reports,has_events,rid,ch,method,kappa_h,gap
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Voltage.Va,hindsight ceiling (offline oracle),0.75,0.5
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Voltage.Vb,hindsight ceiling (offline oracle),0.25,0.5
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Voltage.Vc,hindsight ceiling (offline oracle),0.25,0.5
21,3,5,0.875,0.8076923076923077,0.8400000000000001,3,2,0.6666666666666666,1,0.5,4.166666666666667,0.016736401673640166,59.75000000000001,1434,True,901,Current.Ia,hindsight ceiling (offline oracle),3.25,0.5
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Current.Ib,hindsight ceiling (offline oracle),1.5,0.5
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Current.Ic,hindsight ceiling (offline oracle),0.5,0.5
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1194,False,907,Voltage.Va,hindsight ceiling (offline oracle),1.0,0.5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.0041876046901172526,238.8,1194,True,907,Voltage.Vb,hindsight ceiling (offline oracle),2.0,0.5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.0041876046901172526,238.8,1194,True,907,Voltage.Vc,hindsight ceiling (offline oracle),1.5,0.5
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1194,False,907,Current.Ia,hindsight ceiling (offline oracle),0.75,0.5
6,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.005025125628140704,199.0,1194,True,907,Current.Ib,hindsight ceiling (offline oracle),2.0,0.5
6,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.005025125628140704,199.0,1194,True,907,Current.Ic,hindsight ceiling (offline oracle),2.75,0.5
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Voltage.Va,hindsight ceiling (offline oracle),0.25,0.5
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Voltage.Vb,hindsight ceiling (offline oracle),0.25,0.5
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Voltage.Vc,hindsight ceiling (offline oracle),0.25,0.5
